target,source,value,source (FR),target (FR),color
CARBON_CAPTURE,ELECTRICITY,1883.7815334310849,Électricité,Captage de CO2 en postcombustion,#00BFFF
HP,ELECTRICITY,38509.63199999929,Électricité,Thermopompe,#00BFFF
GASIFICATION_H2,ELECTRICITY,2467.686523676641,Électricité,Production d'hydrogène par gazéification du bois,#00BFFF
ELECTRICITY,HYDRO_DAM,127918.533528,Barrages hydroélectriques existants,Électricité,#00BFFF
ELECTRICITY,HYDRO_RIVER,73573.19568,Hydroélectricité au fil de l'eau existante,Électricité,#00BFFF
ELECTRICITY,IMP_ELECTRICITY_EHV,33888.99999999999,Importations d'électricité,Électricité,#00BFFF
ELECTRICITY,NEW_HYDRO_DAM,16242.663031777398,Nouveaux barrages hydroélectriques,Électricité,#00BFFF
ELECTRICITY,NEW_WIND_ONSHORE,57748.835300429084,Nouvelles éoliennes terrestres,Électricité,#00BFFF
EUD_ELECTRICITY_EHV,ELECTRICITY,7089.69,Électricité,Demande en électricité très haute tension,#00BFFF
EUD_ELECTRICITY_HV,ELECTRICITY,72996.22,Électricité,Demande en électricité haute tension,#00BFFF
EUD_ELECTRICITY_LV,ELECTRICITY,27469.71,Électricité,Demande en électricité basse tension,#00BFFF
EUD_ELECTRICITY_MV,ELECTRICITY,17062.690000000002,Électricité,Demande en électricité moyenne tension,#00BFFF
INDUSTRY,EUD_ELECTRICITY_EHV,7089.69,Demande en électricité très haute tension,Industrie,#00BFFF
INDUSTRY,EUD_ELECTRICITY_HV,72996.22,Demande en électricité haute tension,Industrie,#00BFFF
HOUSEHOLDS,EUD_ELECTRICITY_LV,16235.92,Demande en électricité basse tension,Résidentiel,#00BFFF
SERVICES,EUD_ELECTRICITY_LV,11233.79,Demande en électricité basse tension,Services,#00BFFF
AGRICULTURE,EUD_ELECTRICITY_MV,1988.27,Demande en électricité moyenne tension,Agriculture,#00BFFF
INDUSTRY,EUD_ELECTRICITY_MV,11551.03,Demande en électricité moyenne tension,Industrie,#00BFFF
SERVICES,EUD_ELECTRICITY_MV,3523.39,Demande en électricité moyenne tension,Services,#00BFFF
CAR,ELECTRICITY,9285.691174126549,Électricité,Voiture,#00BFFF
COACH,ELECTRICITY,1132.652322988748,Électricité,Autocar,#00BFFF
COMMUTER,ELECTRICITY,1312.27055600121,Électricité,Train de banlieue,#00BFFF
TRAIN,ELECTRICITY,1766.5877977142004,Électricité,Train,#00BFFF
H2,GASIFICATION_H2,26534.263695447757,Production d'hydrogène par gazéification du bois,H2,#FF00FF
CO2_TO_DIESEL,H2,11470.820678637452,H2,Conversion du CO2 en diesel,#545454
CO2_TO_JETFUELS,H2,2255.5259302666277,H2,Conversion du CO2 en carburant aviation,#545454
LCV,H2,5557.548062234346,H2,Véhicule utilitaire léger,#FF00FF
SEMI,H2,7250.369024309191,H2,Semi-remorque,#FF00FF
