target,source,value,source (FR),target (FR),color
CAR,ELECTRICITY,6610.8479427865495,Électricité,Voiture,#00BFFF
COMMUTER,ELECTRICITY,118.59527392479995,Électricité,Train de banlieue,#00BFFF
TRAIN,ELECTRICITY,1632.7450416703698,Électricité,Train,#00BFFF
NG,GASIFICATION_SNG,8.112220492711719e-05,Production de gaz naturel synthétique par gazéification du bois,Gaz naturel,#FFD700
SNG_PYROLYSIS_THERMAL,HEAT_HIGH_T,4.6044121072771656e-07,Chaleur (haute température),Pyrolyse thermique du gaz naturel synthétique,#FFE100
SNG_PYROLYSIS_PLASMA,HEAT_HIGH_T,2.7384615384608157e-10,Chaleur (haute température),Pyrolyse plasma du gaz naturel synthétique,#FFE100
OCGT_BIOGAS_LARGE,NG,1.9230769230772304e-09,Gaz naturel,Turbine à biogaz à cycle ouvert 243 MW,#FFD700
OCGT_BIOGAS_SMALL,NG,6.512979523938273e-08,Gaz naturel,Turbine à biogaz à cycle ouvert 100 MW,#FFD700
COGEN,NG,1.6534833087852787e-09,Gaz naturel,Cogénération,#FFD700
BOILER,NG,8.457910012718292e-10,Gaz naturel,Chaudière,#FFD700
COGEN,NG,1.904934687809641e-09,Gaz naturel,Cogénération,#FFD700
SNG_PYROLYSIS_PLASMA,NG,1.436153846153581e-09,Gaz naturel,Pyrolyse plasma du gaz naturel synthétique,#FFE100
SNG_PYROLYSIS_THERMAL,NG,1.630836467046774e-06,Gaz naturel,Pyrolyse thermique du gaz naturel synthétique,#FFE100
BOILER,NG,7.942960349318509e-05,Gaz naturel,Chaudière,#FFD700
H2_MP,SNG_PYROLYSIS_PLASMA,7.692307692306804e-10,Pyrolyse plasma du gaz naturel synthétique,Hydrogène,#FF00FF
HEAT_LOW_T,SNG_PYROLYSIS_PLASMA,1.8769230769228433e-10,Pyrolyse plasma du gaz naturel synthétique,Chaleur (basse température),#B51F1F
H2_MP,SNG_PYROLYSIS_THERMAL,8.57432422211763e-07,Pyrolyse thermique du gaz naturel synthétique,Hydrogène,#FF00FF
HEAT_LOW_T,SNG_PYROLYSIS_THERMAL,3.3439864466258716e-07,Pyrolyse thermique du gaz naturel synthétique,Chaleur (basse température),#B51F1F
CAR,NG,3.7190659326058066e-10,Gaz naturel,Voiture,#FFD700
H2,GASIFICATION_H2,10510.022840469526,Production d'hydrogène par gazéification du bois,H2,#FF00FF
CO2_TO_JETFUELS,H2,2255.5259302666277,H2,Conversion du CO2 en carburant aviation,#545454
CO2_TO_DIESEL,H2,2243.023728948965,H2,Conversion du CO2 en diesel,#545454
LCV,H2,4613.4344867389445,H2,Véhicule utilitaire léger,#FF00FF
SEMI,H2,1398.0386953716509,H2,Semi-remorque,#FF00FF
